gene,log2FC,pvalue,padj,-log10_padj,Significance
BATF,1.7106244598532827,6.756031995456638e-30,5.152600401868262e-26,25.28797353694758,Upregulated in ABC
BCL2L10,2.134790573811678,5.828854970985206e-26,1.333642017361415e-22,21.874960730201085,Upregulated in ABC
TNFRSF13B,1.5839748768967952,1.0481228539594693e-25,1.9984209082160548e-22,21.699313035197243,Upregulated in ABC
CYB5R2,2.520473922218874,1.321225887759083e-25,2.325357562455986e-22,21.633510257629105,Upregulated in ABC
ENTPD1,1.1153888553914193,6.674585136452004e-23,7.635725396101092e-20,19.11714969854742,Upregulated in ABC
RAB29,1.1625347536261028,7.017919743446066e-23,7.646190653811713e-20,19.116554877273558,Upregulated in ABC
SLA,1.3458916691789784,1.3673041077783258e-22,1.2513567194387237e-19,18.902618870002566,Upregulated in ABC
FUT8,1.2134468897598243,2.581174654575961e-22,2.1091884320249278e-19,18.675884619249125,Upregulated in ABC
BSPRY,2.0174959300572812,3.3621679312172606e-22,2.6526345609052045e-19,18.5763225762951,Upregulated in ABC
ABHD17C,1.5303299165912991,4.24974722751646e-22,3.241140552185887e-19,18.489302135362358,Upregulated in ABC
PIM2,1.3364554316149153,5.343437244932977e-22,3.8205576301270784e-19,18.417873244938324,Upregulated in ABC
MPEG1,1.3517928851371739,6.669201448586556e-22,4.487980268931188e-19,18.34794906109083,Upregulated in ABC
ZBTB32,3.1213257964023704,1.511951843423446e-21,9.349583291223904e-19,18.029207745101274,Upregulated in ABC
NFKBIZ,1.4048756406391334,2.9835691919849527e-21,1.7964227134898872e-18,17.745591462470955,Upregulated in ABC
ARID3A,1.1389329715606478,1.1523134331706606e-20,6.277364607367789e-18,17.202222645545692,Upregulated in ABC
KIAA0226L,2.3494795497939913,1.5492145187797607e-19,7.233883304016515e-17,16.140628501495115,Upregulated in ABC
SACS,1.0455437644457863,2.526145123115528e-19,1.1559640083376657e-16,15.937055687735285,Upregulated in ABC
CLECL1,1.637379911566678,5.569988871173045e-19,2.409813175294857e-16,15.618016625509606,Upregulated in ABC
STAMBPL1,1.0772711620272686,2.0228449422794856e-18,8.119770575325374e-16,15.090456241605848,Upregulated in ABC
FOXP1,1.0383261481258181,5.693777817179148e-18,2.0355255696415457e-15,14.69132343777759,Upregulated in ABC
IRF4,1.2768511037416679,9.872309258265866e-18,3.371319937748105e-15,14.47220003104316,Upregulated in ABC
