,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Cytokine-cytokine receptor interaction,12/295,1.4439715954292454e-06,0.00015450496071092926,0,0,6.335823914978556,85.20487715067239,IL10;CXCL10;CCL8;CCL22;TNFRSF13B;IL7;IL12B;IL12A;CCR7;CCL18;CCR10;IL17RB
1,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,7/100,7.578986428271555e-06,0.00040547577391252817,0,0,10.938330170777988,128.9643465517695,IL10;CXCL10;CCL8;CCL22;CCR7;CCL18;CCR10
2,KEGG_2021_Human,Allograft rejection,4/38,0.0001531195186947579,0.0054612628334463,0,0,16.77782479898434,147.38130836037053,IL10;IL12B;GZMB;IL12A
3,KEGG_2021_Human,Pertussis,5/76,0.00021407136182837556,0.005726408928909,0,0,10.096958562972036,85.3112337204473,IL10;C1QB;C1QA;IL12B;IL12A
4,KEGG_2021_Human,Intestinal immune network for IgA production,4/48,0.00038190288944736287,0.0081727218341735,0,0,12.958142576847612,101.9850422437306,IL10;TNFRSF13B;CCR10;AICDA
5,KEGG_2021_Human,Chemokine signaling pathway,7/192,0.0004692216457239617,0.0083677860154106,0,0,5.473131955484897,41.9484658103938,CXCL10;HCK;CCL8;CCL22;CCR7;CCL18;CCR10
6,KEGG_2021_Human,Chagas disease,5/102,0.0008320960714578564,0.01271918280657,0,0,7.380845659644405,52.34172942975762,IL10;C1QB;C1QA;IL12B;IL12A
7,KEGG_2021_Human,Leishmaniasis,4/77,0.0022637676779565,0.0276721517549357,0,0,7.798955356262935,47.50129033181741,IL10;FCGR3A;IL12B;IL12A
8,KEGG_2021_Human,African trypanosomiasis,3/37,0.002327564166303,0.0276721517549357,0,0,12.493487394957985,75.7471767674398,IL10;IL12B;IL12A
9,KEGG_2021_Human,Type I diabetes mellitus,3/43,0.0035832287206006,0.0383405473104274,0,0,10.61625,59.78531641106525,IL12B;GZMB;IL12A
10,KEGG_2021_Human,IL-17 signaling pathway,4/94,0.0046471714736661,0.0417573124268037,0,0,6.320383693045564,33.94991907354449,CXCL10;S100A9;IL17RB;S100A8
11,KEGG_2021_Human,Staphylococcus aureus infection,4/95,0.0048249650521897,0.0417573124268037,0,0,6.250612696655862,33.340466764965726,IL10;C1QB;C1QA;FCGR3A
12,KEGG_2021_Human,JAK-STAT signaling pathway,5/162,0.0062120035436732,0.0417573124268037,0,0,4.546293732114834,23.100954150240767,IL10;CCND2;IL7;IL12B;IL12A
13,KEGG_2021_Human,Glycosaminoglycan biosynthesis,3/53,0.0064578589743204,0.0417573124268037,0,0,8.488714285714286,42.803980542076,FUT8;CHST7;CHST2
14,KEGG_2021_Human,Coronavirus disease,6/232,0.0065335620813152,0.0417573124268037,0,0,3.8042116142368063,19.138239161899357,C1QB;CXCL10;C1QA;IL12B;TLR8;IL12A
15,KEGG_2021_Human,Toll-like receptor signaling pathway,4/104,0.0066343393575295,0.0417573124268037,0,0,5.685467625899281,28.51544119036889,CXCL10;IL12B;TLR8;IL12A
16,KEGG_2021_Human,C-type lectin receptor signaling pathway,4/104,0.0066343393575295,0.0417573124268037,0,0,5.685467625899281,28.51544119036889,IL10;CCL22;IL12B;IL12A
17,KEGG_2021_Human,Inflammatory bowel disease,3/65,0.0113170631951042,0.0672736534375643,0,0,6.841589861751152,30.660199612393885,IL10;IL12B;IL12A
18,KEGG_2021_Human,Transcriptional misregulation in cancer,5/192,0.0123914594909665,0.069783482396496,0,0,3.811129194760909,16.73370710605998,ARNT2;FUT8;CCND2;NFKBIZ;GZMB
19,KEGG_2021_Human,RIG-I-like receptor signaling pathway,3/70,0.0138217887506293,0.0739465698158672,0,0,6.329424307036248,27.09948736952012,CXCL10;IL12B;IL12A
20,KEGG_2021_Human,Systemic lupus erythematosus,4/135,0.0161293375448433,0.0821828151094398,0,0,4.333241803503762,17.883789228082605,IL10;C1QB;C1QA;FCGR3A
21,KEGG_2021_Human,Complement and coagulation cascades,3/85,0.0230902224171081,0.1123024453922985,0,0,5.1676829268292686,19.47361740567939,C1QB;C1QA;VSIG4
22,KEGG_2021_Human,Primary immunodeficiency,2/38,0.0301716473015321,0.1403637504897366,0,0,7.809692671394799,27.340583102015515,TNFRSF13B;AICDA
23,KEGG_2021_Human,Tryptophan metabolism,2/42,0.0362773888179595,0.1575138477822752,0,0,7.027304964539007,23.30648297596289,EHHADH;ASMT
24,KEGG_2021_Human,Amoebiasis,3/102,0.0368023008837091,0.1575138477822752,0,0,4.276623376623377,14.122243953748098,IL10;IL12B;IL12A
25,KEGG_2021_Human,Tuberculosis,4/180,0.0404503561606075,0.1664687734301925,0,0,3.217952910398953,10.322162646368936,IL10;FCGR3A;IL12B;IL12A
26,KEGG_2021_Human,Toxoplasmosis,3/112,0.0464325319510093,0.1840104043984445,0,0,3.8823066841415454,11.91773014470021,IL10;IL12B;IL12A
27,KEGG_2021_Human,Malaria,2/50,0.0497512691479657,0.1901209213868692,0,0,5.85372340425532,17.565380826397597,IL10;IL12A
28,KEGG_2021_Human,Autoimmune thyroid disease,2/53,0.0552014079707233,0.2036741604437032,0,0,5.508552357113058,15.956991690508053,IL10;GZMB
